CANON	TNWIKIS	TNPROPS	TNWORDS	Wiki3DRank centroid	Wiki3DRank centroid female	Percentage female books	Wiki3DRank centroid relevant langs	Wiki3DRank centroid non relevant langs	Percentage books relevant langs	Percentage books non relevant langs	Wiki3DRank centroid english lang	Wiki3DRank centroid no english langs	Percentage books in english lang	Percentage books in non english langs
NL	2210.730826639558	2566.5569152033663	8005.922633261106	9.160235	8.673688	19.705	9.351014	8.40239	85.985	17.492	9.242499	9.13526	53.003	50.474
NO	2290.721756744604	2673.656347941125	8316.707783665463	9.131698	8.569059	18.706	9.294847	8.468884	86.047	17.29	9.168975	9.143527	52.477	50.859
HU	2134.707425929056	2502.55224335534	7619.072236740671	9.200438	8.666568	19.956	9.225728	9.540542	96.563	6.874	9.013188	9.760985	71.064	32.373
RU	2216.4789881888205	2577.469959967316	8011.222119807111	9.189686	8.698711	17.951	9.312835	8.684077	87.962	15.417	9.217745	9.220148	53.115	50.264
RO	2221.0252158391745	2583.4191571481256	8033.5848498479545	9.185409	8.684057	17.789	9.311671	8.664647	87.684	15.684	9.212276	9.214416	52.737	50.632
DK	2354.261684881822	2723.148615499341	8478.405009621596	9.174244	8.536932	19.124	9.371175	8.589135	84.363	19.622	9.256744	9.19108	51.195	52.789
PL	2223.9255684860664	2578.6513171356	8022.478639146832	9.203002	8.604798	19.113	9.322195	8.693244	88.068	15.206	9.209472	9.251075	53.643	49.63
KO	2228.4144802648175	2585.624748903632	8032.863556775965	9.206763	8.645325	20.359	9.333308	8.63084	88.397	14.979	9.208277	9.256977	54.325	49.051
JP	2228.691101312334	2583.670953666611	8034.906510782982	9.198508	8.635175	19.494	9.320738	8.679082	88.409	15.068	9.207017	9.249222	54.057	49.42
ES	2175.838503401128	2543.8823911761942	7849.014901339177	9.116488	8.906164	17.094	9.226043	8.65481	89.53	13.568	9.422324	8.907519	48.718	54.38
IT	2218.6738131515613	2577.565180883365	8034.077750868061	9.193111	8.643003	18.967	9.336909	8.511066	87.882	15.279	9.262358	9.164234	52.687	50.474
FR	2223.844448303816	2589.9859873516757	8038.256627234435	9.173427	8.753493	18.382	9.288131	8.671952	89.286	13.971	9.349805	9.06945	49.79	53.466
DE	2211.775401166394	2606.7909213801645	7924.607486502398	9.132877	8.596228	19.788	9.156814	9.467759	96.296	7.09	8.938745	9.728161	71.958	31.429
CZ	2228.665188760196	2587.935535472993	8042.964071782997	9.188282	8.631197	19.453	9.304889	8.686725	88.223	15.142	9.188863	9.241856	53.943	49.422
PT	2214.899767860227	2579.4368615314042	8014.646992516218	9.154538	8.653138	18.612	9.253595	8.735956	89.274	14.09	9.2544	9.110943	51.945	51.42
ZH	2229.6605294741553	2588.3900669260634	8045.063148735966	9.200397	8.68046	19.474	9.315206	8.69871	88.421	14.947	9.189598	9.265631	53.895	49.474
EN-2006	2235.245360043992	2634.8673200780327	8010.107385792016	9.134628	8.595214	19.895	9.157278	9.508313	96.44	6.806	8.939253	9.733878	71.832	31.414
EN-2008	2232.4129895191495	2591.9816698165464	8057.39339476475	9.194845	8.608263	19.223	9.311381	8.686725	88.13	15.126	9.193324	9.248584	53.887	49.37
EN-2010	2232.501704213116	2593.4355924821916	8061.003633274773	9.189159	8.631197	19.412	9.305601	8.686725	88.248	15.11	9.185597	9.24696	53.83	49.528
EN-2012	2239.65135641397	2598.7602731647407	8079.080016785105	9.200532	8.62678	19.706	9.319543	8.68805	88.365	15.094	9.206093	9.250433	53.983	49.476
EN-2018	2245.2352736867656	2606.9558615116453	8100.14786290229	9.195978	8.636265	19.958	9.312273	8.693389	88.506	14.943	9.197258	9.25114	54.441	49.007
ALL-EN	1714.9736264711062	1941.996321965151	5935.892073399932	9.538547	9.051039	18.999	9.585892	9.381122	96.318	6.775	9.40445	9.877913	66.421	36.672
ANY-EN	2789.9772892444994	3337.0170327035103	10302.543172165237	8.946492	8.37676	20.64	9.007455	8.819115	90.32	13.04	8.817528	9.225983	61.28	42.08
NOT-EN	3326.744969734337	4091.4467390319874	12702.564448436478	8.655525	8.199939	18.188	8.795998	8.274768	85.211	18.125	8.847873	8.571383	49.717	53.619
ONLY-NOT-EN	539.6580522477283	758.8723575849662	2420.4565944004494	7.583044	6.74408	9.357	7.729646	7.570506	66.667	36.55	9.568394	7.523179	7.602	95.614
ONLY-EN	2.890371757896165	4.442651256490317	20.435318129216704	7.037152	7.403158	33.333	7.037152	0	100.0	0.0	6.695874	7.872079	66.667	33.333
MICROCANON	1368.431324639275	1509.7971193126034	4577.474380946794	9.805333	9.400959	18.787	9.839768	9.838372	97.456	6.458	9.677764	10.122206	65.949	37.965
MACROCANON	3329.635341492233	4095.889390288478	12722.999766565696	8.652339	8.19593	18.216	8.791936	8.274768	85.239	18.09	8.842007	8.570496	49.749	53.58
